Nepali,English
सामान्य,usual
जवान,young
तयार,ready
माथि,above
कहिल्यै,ever
रातो,red
सूची,list
यद्यपि,though
महसुस,feel
भाषण,talk
चरा,bird
चाँडै,soon
निकाय,body
कुकुर,dog
परिवार,family
प्रत्यक्ष,direct
छोड,leave
गीत,song
उपाय,measure
ढोका,door
उत्पादन,product
कालो,black
छोटो,short
सङ्ख्याको,numeral
वर्ग,class
हावा,wind
प्रश्न,question
के,happen
पूर्ण,complete
जहाज,ship
क्षेत्र,area
आधा,half
चट्टान,rock
आदेश,order
आगो,fire
दक्षिण,south
समस्या,problem
टुक्रा,piece
यसोभने,told
थाहथियो,knew
पारित,pass
पछि,since
शीर्ष,top
सारा,whole
राजा,king
सडक,street
इन्चको,inch
वृद्धि,multiply
केही,nothing
पाठ्यक्रम,course
रहन,stay
पाङ्ग्रा,wheel
पूर्ण,full
बल,force
नीलो,blue
वस्तु,object
निर्णय,decide
सतह,surface
गहिरो,deep
चन्द्र,moon
द्वीप,island
खुट्टा,foot
प्रणाली,system
व्यस्त,busy
परीक्षण,test
रेकर्ड,record
डुङ्गा,boat
सामान्य,common
सुन,gold
सम्भव,possible
विमान,plane
उनीपछिनयाँ,instead
सुक्खा,dry
आश्चर्य,wonder
हाँसेको,laugh
हजार,thousand
पहिले,ago
भाग्यो,ran
जाँच,check
खेल,game
आकार,shape
समानमनाना,equate
तातो,hot
मिस,miss
ल्याए,brought
गर्मी,heat
हिउँ,snow
टायर,tire
ल्याउन,bring
हो,yes
टाढा,distant
भर्ने,fill
पूर्व,east
उतार्न,paint
भाषा,language
बीचमा,among
एकाइ,unit
शक्ति,power
शहर,town
राम्रो,fine
निश्चित,certain
उड,fly
गिरावट,fall
नेतृत्व,lead
पुकारा,cry
अन्धकार,dark
मिसिन,machine
नोट,note
प्रतीक्षा,wait
योजना,plan
आंकडा,figure
तारा,star
बक्स,box
संज्ञा,noun
क्षेत्र,field
बाँकी,rest
सही,correct
सक्षम,able
पाउन्ड,pound
डन,done
सौन्दर्य,beauty
ड्राइव	,drive
उभिए	,stood
समावेश,contain
अगाडि,front
सिकाउँछन्,teach
हप्ता,week
अन्तिम,final
दिए,gave
हरियो,green
हरे,oh
छिटो,quick
विकास,develop
सागर,ocean
न्यानो,warm
निःशुल्क,free
मिनेट,minute
बलियो,strong
विशेष,special
मन,mind
पछि,behind
स्पष्ट,clear
पुच्छर,tail
उत्पादन,produce
वास्तवमा,fact
अन्तरिक्ष,space
सुनेको,heard
सबैभन्दराम्रो,best
घण्टा,hour
राम्रो,better
साँचो,true
समयमा,during
सय,hundred
पाँच,five
सम्झना,remember
कदम,step
प्रारम्भिक,early
पकड	,hold
पश्चिम,west
जमीन,ground
चासो,interest
पुग्न,reach
छिटो,fast
क्रिया,verb
गाउँछन्,sing
सुन्न,listen
छ,six
तालिका,table
यात्रा,travel
कम,less
बिहान,morning
दस,ten
सरल,simple
धेरै,several
स्वर,vowel
तिर,toward
युद्ध,war
सुते,lay
विरुद्ध,against
नमुना	,pattern
ढिलो,slow
केन्द्र,center
प्रेम,love
व्यक्ति,person
पैसा,money
सेवा,serve
देखा,appear
सडक,road
नक्शा,map
वर्षा,rain
नियम	,rule
शासन,govern
पुल,pull
चिसो,cold
सूचना,notice
आवाज,voice
